Date,High,Low,Close,Open,Volume,Close.adj
2019/10/15,184.50,177.58,179.85,179.99,2873360,179.85
2019/10/16,181.00,170.00,172.13,170.00,21295045,172.13
2019/10/17,180.75,173.85,179.28,175.58,17844827,179.28
2019/10/18,182.99,176.82,176.90,180.34,7339430,176.90
2019/10/21,178.32,172.39,175.18,177.29,6549992,175.18
2019/10/22,177.40,174.10,176.01,176.33,5832718,176.01
2019/10/23,176.42,174.00,174.87,176.20,2932039,174.87
2019/10/24,175.48,169.90,171.91,175.00,4464323,171.91
2019/10/25,177.00,171.10,176.29,172.10,5575139,176.29
2019/10/28,176.99,172.01,176.20,176.00,5938603,176.20
2019/10/29,179.99,175.71,178.58,176.76,8588487,178.58
2019/10/30,181.70,178.00,179.16,180.90,8087882,179.16
2019/10/31,181.15,176.53,178.00,180.99,6209446,178.00
2019/11/01,180.23,178.20,179.80,178.98,6713357,179.80
2019/11/04,190.50,180.31,188.10,181.22,12630911,188.10
2019/11/05,193.69,187.58,192.95,189.28,7057668,192.95
2019/11/06,192.88,188.67,189.31,192.81,4924101,189.31
2019/11/07,195.31,189.31,195.00,190.00,5259908,195.00
2019/11/08,196.60,193.02,194.46,196.55,3790478,194.46
2019/11/11,195.60,188.88,189.30,194.46,4064483,189.30
2019/11/12,193.70,189.11,191.27,190.01,3936608,191.27
2019/11/13,200.25,190.55,197.60,191.28,5799068,197.60
2019/11/14,199.68,196.10,198.00,197.63,4090565,198.00
2019/11/15,200.00,193.11,194.00,198.02,4674279,194.00
2019/11/18,194.95,191.00,194.31,192.99,2650805,194.31
2019/11/19,196.28,192.81,195.02,193.50,3738091,195.02
2019/11/20,198.68,194.50,195.01,194.81,4177215,195.01
2019/11/21,195.00,189.66,190.00,194.88,4103677,190.00
2019/11/22,191.80,178.20,182.69,191.50,7754938,182.69
2019/11/25,185.80,178.55,182.50,183.15,4760355,182.50
2019/11/26,185.60,183.00,184.65,184.00,4432271,184.65
2019/11/27,184.76,179.90,183.01,184.25,3594617,183.01
2019/11/28,187.88,183.51,184.85,184.30,4245438,184.85
2019/11/29,184.85,177.30,179.70,183.50,4862951,179.70
2019/12/02,182.90,178.28,180.35,179.90,3351334,180.35
2019/12/03,180.90,173.67,180.03,180.00,5540719,180.03
2019/12/04,182.00,178.10,181.18,179.08,3456065,181.18
2019/12/05,183.35,181.21,182.30,182.30,2964141,182.30
2019/12/06,186.18,181.11,186.18,183.00,4259626,186.18
2019/12/09,186.78,178.96,181.90,185.78,6909275,181.90
2019/12/10,183.68,180.00,180.60,181.50,3349961,180.60
2019/12/11,180.52,176.80,178.45,180.52,5481003,178.45
2019/12/12,180.87,177.70,180.50,178.81,5612937,180.50
2019/12/13,187.95,180.49,185.30,181.30,8240455,185.30
2019/12/16,186.50,180.21,181.76,185.30,5997234,181.76
2019/12/17,182.66,180.50,181.75,181.77,4979304,181.75
2019/12/18,182.00,177.76,178.48,181.98,4989262,178.48
2019/12/19,179.47,178.06,179.30,179.37,1891701,179.30
2019/12/20,179.72,175.89,176.05,179.32,5234607,176.05
2019/12/23,178.64,174.27,174.55,176.31,3216058,174.55
2019/12/24,177.93,171.58,176.10,175.00,4740069,176.10
2019/12/25,176.48,173.98,175.95,175.54,2699468,175.95
2019/12/26,179.07,175.31,178.15,175.94,2834012,178.15
2019/12/27,179.30,175.38,175.48,177.40,2864144,175.48
2019/12/30,179.00,175.00,178.12,175.48,3094584,178.12
2019/12/31,181.90,178.10,181.90,179.11,3362478,181.90
2020/1/02,182.58,179.66,180.33,182.00,3679013,180.33
2020/1/03,182.09,177.77,178.00,182.09,3442870,178.00
2020/1/06,178.55,176.05,176.62,176.96,3959764,176.62
2020/1/07,180.93,176.62,180.70,177.60,3544309,180.70
2020/1/08,181.97,179.20,180.15,179.95,2886523,180.15
